epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.77,1.34698,1.72864,1.11887,0.57314,0.69784,0.63754,0.46077,0.84556,0.74708,1.01382,0.000471099,0.000471099,0.000471099
2,133.334,1.2718,0.92591,1.06054,0.60127,0.77169,0.61011,0.39291,1.00754,0.96144,1.1927,0.000938053,0.000938053,0.000938053
3,220.116,1.24793,0.86569,1.0564,0.61814,0.70097,0.6076,0.38265,1.16602,1.13484,1.38019,0.00139558,0.00139558,0.00139558
4,296.674,1.2335,0.82565,1.05513,0.57113,0.57827,0.53594,0.37755,0.99587,1.30821,1.23713,0.00138656,0.00138656,0.00138656
5,364.229,1.20905,0.79348,1.0375,0.55534,0.81396,0.62017,0.39854,1.10881,1.0551,1.25302,0.00137241,0.00137241,0.00137241
6,444.994,1.18144,0.75193,1.03382,0.621,0.62696,0.55578,0.3939,1.03119,1.18256,1.18805,0.00135826,0.00135826,0.00135826
7,531.784,1.16335,0.74641,1.03157,0.62069,0.63901,0.60916,0.42131,1.0069,1.16549,1.21455,0.00134412,0.00134412,0.00134412
8,608.351,1.19609,0.74338,1.03204,0.55909,0.6299,0.58455,0.33964,1.41144,0.97346,1.5331,0.00132997,0.00132997,0.00132997
9,692.089,1.1523,0.71254,1.02243,0.65495,0.72919,0.60785,0.44706,0.88165,0.89993,1.11636,0.00131582,0.00131582,0.00131582
10,749.522,1.14487,0.70833,1.00609,0.64407,0.76704,0.64127,0.47735,0.88176,0.76599,1.1334,0.00130168,0.00130168,0.00130168
11,810.11,1.10449,0.69341,1.00463,0.6133,0.77387,0.62809,0.44243,0.90589,0.82019,1.12912,0.00128753,0.00128753,0.00128753
12,892.185,1.11893,0.68702,1.00379,0.62073,0.61758,0.59146,0.44416,0.87409,0.77201,1.11878,0.00127338,0.00127338,0.00127338
13,986.558,1.11266,0.68411,0.9967,0.72334,0.64713,0.70731,0.47145,1.003,0.70062,1.2076,0.00125923,0.00125923,0.00125923
14,1090.38,1.09759,0.67475,1.00439,0.68806,0.77005,0.72392,0.51724,0.85999,0.68635,1.12775,0.00124509,0.00124509,0.00124509
15,1173.19,1.08201,0.65666,0.99668,0.6922,0.66659,0.7383,0.54035,0.77245,0.64457,1.05626,0.00123094,0.00123094,0.00123094
16,1273.1,1.06754,0.65196,0.99138,0.40408,0.50521,0.48306,0.32395,1.19745,1.13625,1.33176,0.00121679,0.00121679,0.00121679
17,1368.03,1.06754,0.62735,0.99141,0.73966,0.7067,0.70299,0.52988,0.77553,0.60927,1.0491,0.00120265,0.00120265,0.00120265
18,1452.63,1.05001,0.63429,0.98992,0.70709,0.71514,0.7165,0.53682,0.88755,0.76411,1.09785,0.0011885,0.0011885,0.0011885
19,1539.79,1.04234,0.63733,0.98576,0.61787,0.71871,0.61717,0.4541,0.82813,0.68475,1.10149,0.00117435,0.00117435,0.00117435
20,1627.76,1.05045,0.63102,0.98084,0.72816,0.69851,0.71786,0.5334,0.85774,0.60886,1.07827,0.00116021,0.00116021,0.00116021
21,1707.35,1.0579,0.62592,0.98556,0.79348,0.71293,0.76952,0.52918,0.80971,0.58441,1.04222,0.00114606,0.00114606,0.00114606
22,1796.34,1.02401,0.59867,0.979,0.9698,0.76019,0.88045,0.67641,0.8103,0.60317,1.06258,0.00113191,0.00113191,0.00113191
23,1883.9,1.02453,0.61686,0.97669,0.75204,0.74645,0.75327,0.56271,0.75569,0.55551,1.03133,0.00111776,0.00111776,0.00111776
24,1973.69,1.00932,0.60286,0.97341,0.66,0.90201,0.64924,0.48367,0.81212,0.65896,1.06542,0.00110362,0.00110362,0.00110362
25,2076.65,1.01833,0.59968,0.96407,0.93037,0.67334,0.82542,0.62103,0.79711,0.60891,1.03656,0.00108947,0.00108947,0.00108947
26,2153.79,1.01145,0.59337,0.96522,0.98234,0.72773,0.81499,0.59036,0.76641,0.5459,1.02711,0.00107532,0.00107532,0.00107532
27,2227.36,0.99581,0.59427,0.96331,0.76343,0.65078,0.75096,0.53675,0.80151,0.60248,1.04644,0.00106118,0.00106118,0.00106118
28,2290.98,0.97995,0.58809,0.95715,0.85593,0.58407,0.73127,0.54429,0.79986,0.65567,1.04424,0.00104703,0.00104703,0.00104703
29,2376.43,0.999,0.59236,0.96133,0.68566,0.79771,0.65805,0.49639,0.74029,0.57538,1.00111,0.00103288,0.00103288,0.00103288
30,2446.33,0.99591,0.59063,0.96314,0.88205,0.75022,0.89999,0.67195,0.83105,0.57853,1.07328,0.00101873,0.00101873,0.00101873
31,2522.61,0.97077,0.56866,0.95357,0.80936,0.7737,0.80796,0.6281,0.77107,0.66391,1.02511,0.00100459,0.00100459,0.00100459
