epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2256,1.62333,1.21121,1.39671,0.944,0.56053,0.67073,0.44666,1.05204,0.62436,1.18239,0.000471099,0.000471099,0.000471099
2,28.0344,1.32257,0.86844,1.18246,0.82812,0.81869,0.86109,0.55114,1.08894,0.64712,1.21292,0.000939616,0.000939616,0.000939616
3,40.645,1.25585,0.84286,1.11875,0.54697,0.70726,0.78793,0.50903,1.1021,0.71392,1.17734,0.00140027,0.00140027,0.00140027
4,53.7652,1.22764,0.79679,1.10004,0.52035,0.68493,0.74517,0.48578,1.13156,0.73231,1.20454,0.00139363,0.00139363,0.00139363
5,66.6343,1.18593,0.76673,1.07753,0.68293,0.82661,0.81918,0.53955,1.15806,0.76405,1.21986,0.00138184,0.00138184,0.00138184
6,79.5746,1.1857,0.76179,1.06948,0.66869,0.80835,0.86131,0.52848,0.99139,0.64498,1.0856,0.00137005,0.00137005,0.00137005
7,93.3176,1.13829,0.74829,1.05282,0.84304,0.80836,0.86869,0.56967,1.09264,0.68641,1.16062,0.00135826,0.00135826,0.00135826
8,106.65,1.12328,0.72678,1.05926,0.84445,0.83786,0.88016,0.58447,1.12328,0.64302,1.20783,0.00134648,0.00134648,0.00134648
9,119.979,1.06568,0.68849,1.04228,0.86103,0.77128,0.84018,0.5406,1.12026,0.70615,1.17449,0.00133469,0.00133469,0.00133469
10,133.261,1.06653,0.67627,1.03211,0.81102,0.78409,0.89016,0.57206,1.10644,0.71562,1.19674,0.0013229,0.0013229,0.0013229
11,146.772,1.06976,0.67904,1.01252,0.75924,0.76271,0.81888,0.54996,1.16764,0.75991,1.20428,0.00131111,0.00131111,0.00131111
12,160.685,1.06036,0.6853,1.03009,0.76345,0.89155,0.90956,0.56805,1.07292,0.70505,1.16033,0.00129932,0.00129932,0.00129932
13,174.276,1.06668,0.6652,1.02854,0.764,0.84381,0.87708,0.53522,1.05542,0.755,1.15523,0.00128753,0.00128753,0.00128753
14,188.102,1.04653,0.6432,1.01478,0.68786,0.83999,0.79315,0.52252,1.08304,0.76548,1.16697,0.00127574,0.00127574,0.00127574
15,202.016,1.03023,0.6403,1.01881,0.55741,0.7877,0.74379,0.4691,1.23126,0.74369,1.25561,0.00126395,0.00126395,0.00126395
16,215.934,1.03427,0.63242,1.0286,0.87031,0.73345,0.84077,0.54145,1.23136,0.76922,1.27036,0.00125216,0.00125216,0.00125216
17,230.119,1.02241,0.63505,0.99928,0.85777,0.82335,0.88354,0.5762,1.17972,0.7202,1.25231,0.00124037,0.00124037,0.00124037
18,244.208,1.0032,0.61484,0.98845,0.57543,0.68468,0.73814,0.46804,1.19355,0.71613,1.25504,0.00122858,0.00122858,0.00122858
19,258.102,1.00512,0.59741,0.99605,0.81839,0.81012,0.83785,0.5463,1.08633,0.69218,1.19669,0.00121679,0.00121679,0.00121679
20,271.969,0.98978,0.5887,0.9845,0.80201,0.83091,0.8583,0.57792,1.03765,0.66131,1.15052,0.001205,0.001205,0.001205
21,286.14,0.98964,0.58356,0.99163,0.77273,0.84846,0.85927,0.56934,1.02563,0.63403,1.13428,0.00119322,0.00119322,0.00119322
22,300.239,0.98888,0.59204,0.98986,0.78186,0.81482,0.77491,0.47246,1.20928,0.68891,1.25409,0.00118143,0.00118143,0.00118143
23,314.291,0.97427,0.58969,0.98432,0.90551,0.7619,0.8456,0.52558,1.23559,0.74359,1.28684,0.00116964,0.00116964,0.00116964
24,328.493,0.97185,0.57673,0.97321,0.85852,0.76284,0.82255,0.47506,1.21456,0.77225,1.23349,0.00115785,0.00115785,0.00115785
25,342.27,0.92751,0.56647,0.96534,0.88816,0.80886,0.85228,0.54172,1.178,0.7137,1.21637,0.00114606,0.00114606,0.00114606
26,356.872,0.97652,0.5782,0.98921,0.71313,0.84014,0.82541,0.53349,1.17977,0.70905,1.22224,0.00113427,0.00113427,0.00113427
27,371.209,0.94883,0.56949,0.97753,0.66776,0.76164,0.81989,0.53719,1.16796,0.7355,1.21774,0.00112248,0.00112248,0.00112248
28,385.349,0.98319,0.57805,0.97668,0.88353,0.69068,0.8249,0.56439,1.11215,0.66288,1.21577,0.00111069,0.00111069,0.00111069
29,399.647,0.95274,0.58268,0.9765,0.75714,0.74154,0.84706,0.54942,1.22517,0.68522,1.28414,0.0010989,0.0010989,0.0010989
30,413.904,0.91481,0.53568,0.95495,0.57228,0.74696,0.72709,0.3895,1.25005,0.71874,1.30667,0.00108711,0.00108711,0.00108711
31,428.219,0.91615,0.52,0.9435,0.92976,0.81877,0.88393,0.5816,1.1224,0.6309,1.22304,0.00107532,0.00107532,0.00107532
32,442.395,0.92649,0.53809,0.96844,0.63865,0.8455,0.82973,0.54421,1.26996,0.69476,1.35715,0.00106353,0.00106353,0.00106353
33,456.63,0.89813,0.52855,0.94811,0.81491,0.74478,0.87519,0.53971,1.1317,0.70374,1.20218,0.00105174,0.00105174,0.00105174
34,470.96,0.9035,0.52949,0.94635,0.89658,0.79729,0.85111,0.56089,1.16824,0.7132,1.2458,0.00103995,0.00103995,0.00103995
