epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9975,1.52008,1.75514,1.15506,0.61251,0.64427,0.6204,0.38666,1.22264,0.83605,1.22107,0.000471099,0.000471099,0.000471099
2,61.7768,1.42681,0.96178,1.09305,0.5652,0.57044,0.62209,0.31095,1.85701,1.18013,1.7557,0.000938053,0.000938053,0.000938053
3,86.4713,1.40888,0.92777,1.09587,0.55298,0.72082,0.58641,0.32037,1.49652,1.20709,1.44472,0.00139558,0.00139558,0.00139558
4,112.76,1.38185,0.88824,1.08752,0.49045,0.62562,0.55454,0.29941,1.41233,1.20037,1.34589,0.00138656,0.00138656,0.00138656
5,143.69,1.35395,0.83581,1.06923,0.64712,0.59716,0.60987,0.38809,1.19344,0.89406,1.21384,0.00137241,0.00137241,0.00137241
6,175.687,1.35627,0.8333,1.06758,0.80701,0.59248,0.74507,0.47144,1.12391,0.84763,1.20375,0.00135826,0.00135826,0.00135826
7,206.093,1.31989,0.8007,1.06416,0.35121,0.53467,0.38164,0.20651,1.59571,1.47317,1.4287,0.00134412,0.00134412,0.00134412
8,233.937,1.31427,0.79597,1.05517,0.73425,0.36154,0.51541,0.2895,1.67586,1.59066,1.4897,0.00132997,0.00132997,0.00132997
9,261.214,1.27738,0.7677,1.04513,0.37333,0.85961,0.55338,0.34169,1.31063,1.07005,1.2713,0.00131582,0.00131582,0.00131582
10,285.807,1.26364,0.74947,1.03819,0.62412,0.59154,0.59297,0.3797,1.20771,0.82156,1.23232,0.00130168,0.00130168,0.00130168
11,314.647,1.26734,0.74502,1.03927,0.87175,0.57163,0.65518,0.39825,1.32049,0.87176,1.21919,0.00128753,0.00128753,0.00128753
12,347.209,1.23301,0.71356,1.02306,0.71962,0.68546,0.67792,0.42572,1.23006,0.67558,1.21606,0.00127338,0.00127338,0.00127338
13,380.079,1.22547,0.71517,1.0144,0.68816,0.75416,0.67065,0.42111,1.16594,0.85161,1.18458,0.00125923,0.00125923,0.00125923
14,411.351,1.23005,0.70983,1.02615,0.69489,0.75419,0.64839,0.4102,1.08519,0.79675,1.16466,0.00124509,0.00124509,0.00124509
15,441.103,1.18821,0.68729,1.00596,0.70786,0.77242,0.7368,0.46305,1.35002,0.82426,1.28841,0.00123094,0.00123094,0.00123094
16,465.628,1.21224,0.69449,1.0161,0.73367,0.67605,0.68436,0.47065,0.9705,0.76915,1.11194,0.00121679,0.00121679,0.00121679
17,495.908,1.19942,0.69614,1.01203,0.69905,0.72166,0.64114,0.40421,1.17232,0.97305,1.17965,0.00120265,0.00120265,0.00120265
18,528.855,1.18812,0.67851,1.01,0.60909,0.69654,0.6098,0.39994,1.1179,0.79499,1.17107,0.0011885,0.0011885,0.0011885
19,561.436,1.17583,0.68188,1.00196,0.70863,0.84383,0.71621,0.50958,1.02261,0.70629,1.12495,0.00117435,0.00117435,0.00117435
20,594.236,1.18126,0.68072,1.00757,0.70044,0.61563,0.62294,0.41377,1.06492,0.76901,1.10095,0.00116021,0.00116021,0.00116021
21,627.172,1.15964,0.66657,1.00144,0.67272,0.78521,0.63934,0.40881,1.13842,0.70737,1.19282,0.00114606,0.00114606,0.00114606
22,654.328,1.15844,0.66178,0.9944,0.72988,0.82547,0.73691,0.48488,0.97358,0.69596,1.10499,0.00113191,0.00113191,0.00113191
23,678.587,1.14147,0.65882,0.9916,0.65848,0.82011,0.64969,0.43077,1.08289,0.73924,1.11009,0.00111776,0.00111776,0.00111776
24,705.465,1.12591,0.63708,0.98511,0.68935,0.80678,0.70206,0.48733,0.97836,0.60791,1.11351,0.00110362,0.00110362,0.00110362
25,737.807,1.13402,0.64066,0.98762,0.65841,0.77383,0.61775,0.40466,1.16789,0.72553,1.18405,0.00108947,0.00108947,0.00108947
26,770.576,1.12434,0.6496,0.98483,0.8982,0.69041,0.78238,0.50445,1.17635,0.62151,1.16397,0.00107532,0.00107532,0.00107532
27,803.238,1.13304,0.65295,0.99877,0.65806,0.84498,0.68266,0.45362,0.91553,0.67728,1.0686,0.00106118,0.00106118,0.00106118
28,835.733,1.12544,0.63587,0.98461,0.65676,0.76513,0.64994,0.42938,1.00631,0.69335,1.11849,0.00104703,0.00104703,0.00104703
29,864.7,1.1094,0.63841,0.98278,0.59913,0.49377,0.54966,0.35244,1.17307,0.91144,1.19485,0.00103288,0.00103288,0.00103288
