epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7206,1.37326,1.56647,1.10274,0.44626,0.61893,0.5896,0.39692,1.04825,1.0944,1.2013,0.000471099,0.000471099,0.000471099
2,61.0268,1.27986,0.91057,1.03755,0.50176,0.55141,0.51873,0.34129,1.01926,1.26711,1.11882,0.000938053,0.000938053,0.000938053
3,89.1402,1.24686,0.85028,1.0296,0.27665,0.25123,0.27118,0.17131,1.30414,2.49339,1.31311,0.00139558,0.00139558,0.00139558
4,120.307,1.25708,0.83208,1.02908,0.74925,0.68061,0.73167,0.46627,1.10789,0.8192,1.25519,0.00138656,0.00138656,0.00138656
5,149.966,1.21714,0.78178,1.01473,0.60414,0.43117,0.44304,0.27065,1.28717,1.92827,1.29391,0.00137241,0.00137241,0.00137241
6,181.085,1.18219,0.73718,1.00867,0.66425,0.65849,0.63333,0.44037,1.01447,0.82265,1.16934,0.00135826,0.00135826,0.00135826
7,212.268,1.17916,0.73622,1.00976,0.67029,0.74448,0.74827,0.49451,1.0966,1.16514,1.15032,0.00134412,0.00134412,0.00134412
8,244.017,1.2038,0.73232,1.0098,0.5159,0.49465,0.55459,0.38447,0.98348,0.90397,1.1546,0.00132997,0.00132997,0.00132997
9,275.606,1.13407,0.6938,0.99216,0.82638,0.53958,0.69035,0.49564,0.87443,0.76509,1.05988,0.00131582,0.00131582,0.00131582
10,307.467,1.15261,0.70551,0.99283,0.60395,0.62695,0.57473,0.40922,0.92902,0.88648,1.11355,0.00130168,0.00130168,0.00130168
11,339.381,1.10818,0.67687,0.98936,0.7025,0.74243,0.71811,0.4616,0.92004,0.87832,1.09444,0.00128753,0.00128753,0.00128753
12,371.312,1.10733,0.67047,0.98295,0.68922,0.54228,0.64408,0.44633,0.88827,0.79214,1.09584,0.00127338,0.00127338,0.00127338
13,401.306,1.10976,0.66857,0.97759,0.73592,0.61641,0.64986,0.44862,0.82189,0.70391,1.04563,0.00125923,0.00125923,0.00125923
14,433.759,1.09201,0.65998,0.98085,0.62743,0.57228,0.57658,0.38393,0.94711,1.01559,1.09448,0.00124509,0.00124509,0.00124509
15,466.104,1.07833,0.64349,0.96919,0.7832,0.58613,0.65032,0.467,0.8314,0.66558,1.07458,0.00123094,0.00123094,0.00123094
16,498.683,1.081,0.63677,0.97329,0.65552,0.78414,0.70656,0.45135,1.01068,0.73496,1.16267,0.00121679,0.00121679,0.00121679
