epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8238,1.50239,1.72263,1.16857,0.63442,0.64839,0.60493,0.39724,1.04835,0.78639,1.16268,0.000471099,0.000471099,0.000471099
2,67.4224,1.37318,0.98092,1.08383,0.5317,0.47464,0.5457,0.33061,1.327,1.25812,1.32073,0.000928673,0.000928673,0.000928673
3,96.708,1.39013,0.92433,1.10091,0.48298,0.47163,0.39899,0.24833,1.24812,1.86725,1.27389,0.00136738,0.00136738,0.00136738
4,125.529,1.3769,0.89943,1.09191,0.73465,0.53932,0.64765,0.39144,1.25555,0.85866,1.24191,0.00134412,0.00134412,0.00134412
5,154.575,1.3368,0.8495,1.07552,0.71722,0.73029,0.74033,0.45567,1.33847,0.98491,1.30758,0.00131582,0.00131582,0.00131582
6,183.648,1.30791,0.81899,1.06592,0.58043,0.53515,0.58143,0.36408,1.29201,0.9065,1.26593,0.00128753,0.00128753,0.00128753
7,212.635,1.29007,0.80249,1.05749,0.66469,0.65214,0.61353,0.37658,1.30222,0.92612,1.27151,0.00125923,0.00125923,0.00125923
8,241.544,1.26895,0.7612,1.04694,0.60781,0.54253,0.60275,0.40151,1.10641,0.7116,1.17336,0.00123094,0.00123094,0.00123094
9,270.487,1.24956,0.77222,1.04268,0.60241,0.74929,0.58738,0.36904,1.16588,0.92559,1.20853,0.00120265,0.00120265,0.00120265
10,299.592,1.24921,0.75467,1.03551,0.76037,0.77668,0.75519,0.493,1.14575,0.84636,1.15854,0.00117435,0.00117435,0.00117435
11,328.938,1.21484,0.7243,1.02946,0.70093,0.65228,0.66893,0.45827,1.01012,0.67573,1.113,0.00114606,0.00114606,0.00114606
12,358.304,1.21122,0.71987,1.02236,0.7614,0.70338,0.66619,0.44438,0.97598,0.66908,1.08756,0.00111776,0.00111776,0.00111776
13,387.437,1.20861,0.72779,1.02245,0.67066,0.86483,0.71531,0.46092,1.12153,0.72066,1.15947,0.00108947,0.00108947,0.00108947
14,417.09,1.17478,0.69651,1.00855,0.73244,0.733,0.65509,0.40884,1.14743,0.8013,1.16931,0.00106118,0.00106118,0.00106118
15,446.47,1.17429,0.68932,1.00929,0.65216,0.7006,0.6212,0.41463,0.9552,0.6503,1.07684,0.00103288,0.00103288,0.00103288
16,475.921,1.16474,0.68091,1.00984,0.68052,0.78114,0.65213,0.39321,1.23355,0.78697,1.19819,0.00100459,0.00100459,0.00100459
17,505.334,1.15722,0.68216,1.00938,0.69778,0.69818,0.64019,0.4242,1.05491,0.75127,1.11137,0.000976293,0.000976293,0.000976293
18,534.795,1.13992,0.66476,0.99977,0.65782,0.81629,0.6528,0.41515,1.09444,0.68586,1.13712,0.000947999,0.000947999,0.000947999
19,564.29,1.14017,0.66801,1.00118,0.67345,0.61527,0.60216,0.4053,1.03028,0.8281,1.11715,0.000919704,0.000919704,0.000919704
20,593.773,1.11875,0.65034,0.99142,0.66728,0.80724,0.65167,0.43641,1.06737,0.65239,1.11692,0.00089141,0.00089141,0.00089141
21,623.225,1.11119,0.64216,0.98785,0.65497,0.81511,0.64471,0.40469,1.12775,0.68444,1.15875,0.000863116,0.000863116,0.000863116
22,652.848,1.11143,0.63829,0.98706,0.74945,0.8024,0.78466,0.5027,1.03146,0.6198,1.10622,0.000834822,0.000834822,0.000834822
23,682.609,1.08525,0.63755,0.97935,0.6559,0.91165,0.66951,0.43859,0.97689,0.60256,1.09125,0.000806528,0.000806528,0.000806528
24,712.183,1.07181,0.61661,0.97072,0.75974,0.57615,0.65074,0.45051,1.04546,0.68177,1.11135,0.000778233,0.000778233,0.000778233
25,741.607,1.09422,0.62731,0.98497,0.66692,0.76939,0.62818,0.41057,1.12898,0.71686,1.13141,0.000749939,0.000749939,0.000749939
26,771.284,1.07706,0.60957,0.97051,0.65697,0.89483,0.66604,0.43741,1.06867,0.6233,1.1042,0.000721645,0.000721645,0.000721645
27,801.554,1.06751,0.609,0.97327,0.68601,0.68317,0.62459,0.42627,0.98624,0.70848,1.07434,0.000693351,0.000693351,0.000693351
28,832.4,1.07018,0.60628,0.97222,0.67063,0.87005,0.64911,0.43047,1.06093,0.62474,1.10268,0.000665057,0.000665057,0.000665057
